Name,Nationality,Ranking,Position,Weight (kg),Height (cm),Spike (cm),Block (cm),Birthdate,Points,Awards,Matches,Tournaments,Dominant hand,Added by
Maksim Mikhaylov,Russia,1,2,103,202,360,340,1988-03-19,9068.6,49,528,108,1,Volleybox
Wilfredo Leon,Poland,2,1,96,201,385,346,1993-07-31,8429.8,61,464,81,1,Volleybox
Sergio Dutra Santos,Brazil,3,5,78,184,325,310,1975-10-15,8172.2,44,304,97,,Volleybox
Osmany Juantorena,Italy,4,1,85,200,370,340,1985-08-12,7344.4,39,629,95,,Volleybox
Sergey Tetyukhin,Russia,5,1,89,197,349,338,1975-09-23,6596.75,16,497,133,1,Volleybox
Ivan Miljković,Serbia,6,2,88,206,354,333,1979-09-13,6583.75,32,256,110,,Volleybox
Robertlandy Simon Aties,Cuba,7,3,114,208,389,362,1987-06-11,6409.45,44,494,92,1,Volleybox
Wallace de Souza,Brazil,8,2,87,198,360,340,1987-06-26,6315.85,37,373,96,1,Volleybox
Dmitriy Muserskiy,Russia,9,2,104,218,375,347,1988-10-29,6177.2,45,497,80,1,Volleybox
Bruno Rezende,Brazil,10,4,76,190,334,318,1986-07-02,6103.55,21,475,111,1,Volleybox
Andrea Giani,Italy,11,3,,196,356,322,1970-04-22,5973.05,9,808,176,,Volleybox
Matey Kaziyski,Bulgaria,12,1,93,203,378,345,1984-09-23,5824.95,29,703,112,1,Volleybox
Mariusz Wlazły,Poland,13,2,80,194,365,329,1983-08-04,5702.5,34,451,93,,Volleybox
Aleksey Verbov,Russia,14,5,79,183,315,210,1982-01-31,5600.2,21,559,108,,Volleybox
William Arjona,Brazil,15,4,78,185,300,295,1979-07-31,5579.65,35,330,100,,Volleybox
Yoandy Leal Hidalgo,Brazil,16,1,107,201,371,340,1988-08-31,5397.75,31,423,78,1,Volleybox
Gilberto de Godoy Filho,Brazil,17,1,85,192,325,312,1976-12-23,5360.55,14,115,100,,Volleybox
Bartosz Kurek,Poland,18,2,104,208,375,340,1988-08-29,5345.05,31,451,107,1,Volleybox
Lorenzo Bernardi,Italy,19,1,93,199,340,331,1968-08-10,5339.3,8,453,141,,Volleybox
Tsvetan Sokolov,Bulgaria,20,2,100,206,370,350,1989-12-31,5304.65,27,641,105,1,Volleybox
Samuele Papi,Italy,21,1,84,190,345,310,1973-05-20,5294.9,9,654,139,,Volleybox
