Name,Added by,Awards,Block,Points,Classificação do jogador,Adicionado por,Wzrost,Matches,Wyświetlenia,Pozycja,Spike,Player ranking,Zasięg w ataku,Nacionalidade,Visualizações,Data urodzenia,Posição,Ranking in 2023,Nationality,Ranking,Position,Ranking siatkarza,Waga,Last activity,Birthdate,Height,Dominant hand,Narodowość,Altura,Ranking trenera,Zasięg w bloku,Dodano przez,Data de nascimento,Views,Peso,Tournaments,Ranking w 2023,Weight,Ręka,Coach ranking,Classificação de treinador
Maksim Mikhaylov,Volleybox,49,340,9068.60,,,,530,,,360,,,,,,,,Russia,1,Opposite,,,,1988-03-19,202,Right,,,,,,,65819,,110,,103,,,
Wilfredo Leon,Volleybox,62,346,8429.80,,,,464,,,385,,,,,,,23,Poland,2,Outside Hitter,,,,1993-07-31,201,Right,,,,,,,126298,,83,,96,,,
Sergio Dutra Santos,Volleybox,45,310,8172.20,,,,304,,,325,,,,,,,,Brazil,3,Libero,,,,1975-10-15,184,,,,,,,,52889,,97,,78,,,
Osmany Juantorena,Volleybox,39,340,7344.40,,,,629,,,370,,,,,,,114,Italy,4,Outside Hitter,,,,1985-08-12,200,,,,,,,,70921,,95,,85,,,
Sergey Tetyukhin,Volleybox,16,338,6596.75,,,,497,,,349,5,,,,,,,Russia,,Outside Hitter,,,,1975-09-23,197,Right,,,,,,,30616,,134,,89,,,
Ivan Miljković,Volleybox,32,333,6583.75,,,,256,,,354,6,,,,,,,Serbia,,Opposite,,,,1979-09-13,206,,,,,,,,39493,,110,,88,,,
Robertlandy Simon Aties,Volleybox,44,362,6409.45,,,,494,,,389,,,,,,,5,Cuba,7,Middle-blocker,,,,1987-06-11,208,Right,,,,,,,76781,,88,,114,,,
Wallace de Souza,Volleybox,37,340,6315.85,,,,373,,,360,,,,,,,71,Brazil,8,Opposite,,,,1987-06-26,198,Right,,,,,,,48191,,96,,87,,,
Dmitriy Muserskiy,Volleybox,45,347,6177.20,,,,497,,,375,,,,,,,74,Russia,9,Opposite,,,,1988-10-29,218,Right,,,,,,,55605,,80,,104,,,
Bruno Rezende,Volleybox,21,318,6103.55,,,,475,,,334,,,,,,,80,Brazil,10,Setter,,,,1986-07-02,190,Right,,,,,,,87414,,113,,76,,,
Andrea Giani,Volleybox,9,322,5973.05,,,,812,,,356,11,,,,,,,Italy,,Middle-blocker,,,,1970-04-22,196,,,,,,,,29272,,176,,,,121,
Matey Kaziyski,Volleybox,29,345,5824.95,,,,703,,,378,,,,,,,24,Bulgaria,12,Outside Hitter,,,,1984-09-23,203,Right,,,,,,,75574,,112,,93,,,
Mariusz Wlazły,,,,5702.50,,,194,,39750,Atakujący,,,365,,,1983-08-04,,,,13,,,80,,,,,Polska,,,329,Volleybox,,,,,382,,,,
Aleksey Verbov,Volleybox,21,210,5600.20,,,,561,,,315,14,,,,,,,Russia,,Libero,,,,1982-01-31,183,,,,,,,,20006,,110,,79,,992,
William Arjona,Volleybox,35,295,5579.65,,,,330,,,300,,,,,,,25,Brazil,15,Setter,,,,1979-07-31,185,,,,,,,,21622,,100,,78,,,
Yoandy Leal Hidalgo,Volleybox,31,340,5397.75,,,,423,,,371,,,,,,,13,Brazil,16,Outside Hitter,,,,1988-08-31,201,Right,,,,,,,53191,,82,,107,,,
Gilberto de Godoy Filho,Volleybox,14,312,5360.55,,,,115,,,325,,,,,,,,Brazil,17,Outside Hitter,,,,1976-12-23,192,,,,,,,,36467,,100,,85,,,
Bartosz Kurek,Volleybox,31,340,5345.05,,,,451,,,375,,,,,,,15,Poland,18,Opposite,,,,1988-08-29,205,Right,,,,,,,99740,,109,,104,,,
Lorenzo Bernardi,Volleybox,8,331,5339.30,,,,456,,,340,19,,,,,,,Italy,,Outside Hitter,,,,1968-08-10,199,,,,,,,,22477,,141,,93,,217,
Tsvetan Sokolov,Volleybox,27,350,5304.65,,,,643,,,370,,,,,,,,Bulgaria,20,Opposite,,,,1989-12-31,206,Right,,,,,,,36885,,107,,100,,,
Samuele Papi,Volleybox,9,310,5294.90,,,,654,,,345,21,,,,,,,Italy,,Outside Hitter,,,,1973-05-20,190,,,,,,,,14633,,139,,84,,3007,
Earvin Ngapeth,Volleybox,28,327,5282.35,,,,638,,,358,,,,,,,80,France,22,Outside Hitter,,,,1991-02-12,194,Right,,,,,,,119085,,106,,96,,,
Marko Podraščanin,Volleybox,18,326,5100.80,,,,739,,,346,,,,,,,96,Serbia,23,Middle-blocker,,,,1987-08-29,204,,,,,,,,29280,,117,,92,,,
Jenia Grebennikov,Volleybox,32,330,5067.55,,,,599,,,345,,,,,,,,France,24,Libero,,,,1990-08-13,188,,,,,,,,59848,,96,,74,,,
Alessandro Fei,Volleybox,18,336,5050.95,,,,657,,,358,25,,,,,,,Italy,,Opposite,,,,1978-11-29,204,,,,,,,,16210,,113,,90,,,
Nikola Grbić,Volleybox,11,330,5007.44,,,,724,,,346,26,,,,,,,Serbia,,Setter,,,,1973-09-06,195,,,,,,,,34407,,149,,91,,239,
Murilo Endres,Volleybox,13,321,4999.60,,,,376,,,343,,,,,,,235,Brazil,27,Outside Hitter,,,,1981-05-03,190,Right,,,,,,,36825,,100,,76,,,
Dante Amaral,Volleybox,15,327,4957.25,,,,356,,,345,28,,,,,,,Brazil,,Outside Hitter,,,,1980-09-30,201,,,,,,,,25563,,117,,86,,,
Ivan Zaytsev,Volleybox,27,355,4952.20,,,,825,,,370,,,,,,,143,Italy,29,Opposite,,,,1988-10-02,204,Right,,,,,,,87080,,97,,100,,,
