Name,Nationality,Ranking,Position,Weight (kg),Height (cm),Spike (cm),Block (cm),Birthdate,Points,Awards,Matches,Tournaments,Dominant hand
Yeon-Koung Kim,South Korea,1,1,73,192,320,310,2/26/1988,8554.55,78,492,107,Right
Brenda Castillo,Dominican Republic,2,5,55,167,245,230,6/5/1992,7992,98,190,104,
Ekaterina Gamova,Russia,3,2,80,206,350,310,10/17/1980,7808.15,44,124,135,Right
Ting Zhu,China,4,1,78,198,327,300,11/29/1994,7751.4,56,433,69,Right
Hélia Souza,Brazil,5,4,65,174,283,264,3/10/1970,7289.75,35,192,130,
Thaisa Menezes,Brazil,6,3,79,196,320,315,5/15/1987,6774.9,36,365,140,
Evgeniya Artamonova-Estes,Russia,7,1,75,193,315,306,7/17/1975,6723.85,27,12,126,Right
Sheilla Castro,Brazil,8,2,64,187,315,305,7/1/1983,6683,31,244,129,
Fabiana Oliveira,Brazil,9,5,59,169,276,266,3/7/1980,6660.1,38,181,115,
Lioubov Sokolova,Russia,10,1,72,193,315,307,12/4/1977,6448.85,30,238,124,Right
Tijana Bošković,Serbia,11,2,85,194,329,310,3/8/1997,6343.7,36,393,79,Right
Gabriela Guimarães,Brazil,12,1,65,180,305,289,5/19/1994,6087.4,39,397,98,Right
Eda Erdem Dündar,Turkey,13,3,74,188,315,302,6/22/1987,6031.91,37,593,107,Right
Bethania De La Cruz,Dominican Republic,14,1,70,190,330,320,5/13/1987,5494.75,48,197,114,Right
Fabiana Claudino,Brazil,15,3,76,194,314,314,1/24/1985,5488.6,23,305,133,
Irina Kirillova-Parkhomchuk,Russia,16,4,,180,300,285,5/13/1965,5480.4,17,131,148,
Milena Rašić,Serbia,17,3,72,193,315,310,10/25/1990,5474.4,26,482,91,Right
Monica De Gennaro,Italy,18,5,62,172,280,255,1/8/1987,5446.65,26,452,108,
Natália Pereira,Brazil,19,1,83,186,311,295,4/4/1989,5364.3,19,358,116,
Fernanda Venturini,Brazil,20,4,69,185,292,280,10/24/1970,5213.45,28,23,81,Right
Adenízia Silva,Brazil,21,3,63,185,312,290,12/18/1986,5209.9,21,331,136,
Ana Carolina Da Silva,Brazil,22,3,73,183,316,309,4/8/1991,5170,33,343,95,Right
